id|cocktail_id|ingredient_id|portion|created_at|updated_at
1096|230|14|1 1/2 oz|2022-12-10 17:54:42.292613|2022-12-10 17:54:42.292613
1097|230|33|""|2022-12-10 17:54:42.297887|2022-12-10 17:54:42.297887
1098|231|83|""|2022-12-10 17:54:42.303419|2022-12-10 17:54:42.303419
1099|231|25|1 tsp|2022-12-10 17:54:42.308998|2022-12-10 17:54:42.308998
1100|231|134|""|2022-12-10 17:54:42.314625|2022-12-10 17:54:42.314625
1101|231|39|(Claret)|2022-12-10 17:54:42.322341|2022-12-10 17:54:42.322341
1102|231|14|2 oz|2022-12-10 17:54:42.329706|2022-12-10 17:54:42.329706
1103|232|83|1/2 slice|2022-12-10 17:54:42.335697|2022-12-10 17:54:42.335697
1104|232|134|1|2022-12-10 17:54:42.341451|2022-12-10 17:54:42.341451
1105|232|138|1/2 tsp|2022-12-10 17:54:42.347132|2022-12-10 17:54:42.347132
1106|232|14|2 oz|2022-12-10 17:54:42.352549|2022-12-10 17:54:42.352549
1107|400|68|Strong cold|2022-12-10 17:54:42.358467|2022-12-10 17:54:42.358467
1108|400|26|2 tsp|2022-12-10 17:54:42.363869|2022-12-10 17:54:42.363869
1109|234|20|1 oz|2022-12-10 17:54:42.371678|2022-12-10 17:54:42.371678
1110|234|128|1 twist of|2022-12-10 17:54:42.378465|2022-12-10 17:54:42.378465
1111|234|48|1 1/2 tsp|2022-12-10 17:54:42.384246|2022-12-10 17:54:42.384246
1112|234|15|1 oz|2022-12-10 17:54:42.389749|2022-12-10 17:54:42.389749
1113|234|98|1 1/2 tsp|2022-12-10 17:54:42.395176|2022-12-10 17:54:42.395176
1114|235|201|2 oz|2022-12-10 17:54:42.401174|2022-12-10 17:54:42.401174
1115|235|15|1 oz|2022-12-10 17:54:42.40678|2022-12-10 17:54:42.40678
1116|235|153|3 dashes|2022-12-10 17:54:42.4124|2022-12-10 17:54:42.4124
1117|235|141|1|2022-12-10 17:54:42.420541|2022-12-10 17:54:42.420541
1118|235|136|1/4 oz|2022-12-10 17:54:42.427231|2022-12-10 17:54:42.427231
1119|236|83|1 wedge|2022-12-10 17:54:42.432916|2022-12-10 17:54:42.432916
1120|236|172|1|2022-12-10 17:54:42.440522|2022-12-10 17:54:42.440522
1121|236|22|70ml/2fl oz|2022-12-10 17:54:42.446721|2022-12-10 17:54:42.446721
1122|236|214|2 tbsp|2022-12-10 17:54:42.55793|2022-12-10 17:54:42.55793
1123|236|15|1 tbsp|2022-12-10 17:54:42.563925|2022-12-10 17:54:42.563925
1124|237|182|1 oz|2022-12-10 17:54:42.569778|2022-12-10 17:54:42.569778
1125|237|201|2 oz|2022-12-10 17:54:42.575558|2022-12-10 17:54:42.575558
1126|237|15|1 oz|2022-12-10 17:54:42.581246|2022-12-10 17:54:42.581246
1127|238|45|2 oz|2022-12-10 17:54:42.587437|2022-12-10 17:54:42.587437
1128|238|15|1/4 tsp|2022-12-10 17:54:42.593017|2022-12-10 17:54:42.593017
1129|238|11|1 dash|2022-12-10 17:54:42.598606|2022-12-10 17:54:42.598606
1130|239|15|1 1/2 oz|2022-12-10 17:54:42.607479|2022-12-10 17:54:42.607479
1131|239|100|3/4 oz|2022-12-10 17:54:42.613337|2022-12-10 17:54:42.613337
1132|239|33|""|2022-12-10 17:54:42.619192|2022-12-10 17:54:42.619192
1133|240|172|1|2022-12-10 17:54:42.624986|2022-12-10 17:54:42.624986
1134|240|22|1 1/2 oz|2022-12-10 17:54:42.630832|2022-12-10 17:54:42.630832
1135|240|15|3/4 oz|2022-12-10 17:54:42.63656|2022-12-10 17:54:42.63656
1136|241|16|1/2 oz|2022-12-10 17:54:42.642427|2022-12-10 17:54:42.642427
1137|241|36|1/2 oz|2022-12-10 17:54:42.64974|2022-12-10 17:54:42.64974
1138|241|215|1 oz|2022-12-10 17:54:42.752521|2022-12-10 17:54:42.752521
