id|name|description|instructions|glass_type|thumbnail|portions
377|Vodka And Tonic||Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.|Highball glass|https://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg|"{""Vodka"": ""2 oz "", ""Tonic water"": null}"
378|Vodka Fizz||Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.|White wine glass|https://www.thecocktaildb.com/images/media/drink/xwxyux1441254243.jpg|"{""Ice"": null, ""Vodka"": ""2 oz "", ""Nutmeg"": null, ""Limeade"": ""2 oz "", ""Half-and-half"": ""2 oz ""}"
399|Grim Reaper||Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg|"{""Kahlua"": ""1 oz "", ""Grenadine"": ""1 dash "", ""151 proof rum"": ""1 oz Bacardi ""}"
380|Vodka Russian||Mix it as a ordinary drink .|Collins Glass|https://www.thecocktaildb.com/images/media/drink/rpttur1454515129.jpg|"{""Vodka"": ""2 oz "", ""Schweppes Russchian"": null}"
381|Vodka Slime||Fill glass with ice. Add vodka, 7-up then finish with the lime juice.|Highball glass|https://www.thecocktaildb.com/images/media/drink/apex461643588115.jpg|"{""Vodka"": ""1 1/2 shot"", ""Sprite"": ""1 cup"", ""Lime Juice"": ""1/2 shot""}"
382|Vodka Tonic||"Wash and cut 1 wedge and 1 slice of lime or lemon.
Fill a tumbler with fresh ice.
Pour the desired dose of vodka and top up with the tonic.
Squeeze the lime wedge into the glass and decorate with the slice.
That's all, very simple: it's just the recipe for happiness!"|Highball glass|https://www.thecocktaildb.com/images/media/drink/9koz3f1643821062.jpg|"{""Vodka"": ""4 cl"", ""Lemon Peel"": ""1 Slice"", ""Tonic Water"": ""10 cl""}"
383|Zipperhead||Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).|Whiskey sour glass|https://www.thecocktaildb.com/images/media/drink/r2qzhu1485620235.jpg|"{""Vodka"": ""1 shot "", ""Soda water"": ""Fill with "", ""Chambord raspberry liqueur"": ""1 shot ""}"
384|Zorbatini||Prepare like a Martini. Garnish with a green olive.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/wtkqgb1485621155.jpg|"{""Ouzo"": ""1/4 oz "", ""Vodka"": ""1 1/4 oz Stoli ""}"
385|747||pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!|Shot glass|https://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg|"{""Kahlua"": ""1/3 part "", ""Frangelico"": ""1/3 part "", ""Baileys irish cream"": ""1/3 part ""}"
387|Afternoon||Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg|"{""Cream"": null, ""Coffee"": ""4 cl hot "", ""Kahlua"": ""1 cl "", ""Frangelico"": ""1 1/2 "", ""Baileys irish cream"": ""1 cl ""}"
388|Avalanche||Mix in highball glass over ice, shake well.|Highball glass|https://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg|"{""Cream"": ""Fill with "", ""Kahlua"": ""1 shot "", ""Crown Royal"": ""1 shot ""}"
389|B-52||Layer ingredients into a shot glass. Serve with a stirrer.|Shot glass|https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg|"{""Kahlua"": ""1/4 "", ""Grand Marnier"": ""1/3 "", ""Baileys irish cream"": ""1/3 ""}"
390|B-53||Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52|Collins Glass|https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg|"{""Kahlua"": ""1/3 shot "", ""Sambuca"": ""1/3 shot "", ""Grand Marnier"": ""1/3 shot ""}"
